,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
41,93.37,6.216,0.103,0.109,0.14,0.01,0.002,0.004,0.007,0.0,0.0002,0.0,0.001,0.0,0.0,0.016,0.0001,0.0,0.0,0.0019,0.001,0.009,0.0,0.01,0.0,-711.770839003389
42,93.72,5.879,0.1,0.109,0.139,0.01,0.001,0.005,0.005,0.002,0.0002,0.0,0.001,0.0,0.0,0.015,0.0,0.0,0.0,0.0019,0.001,0.0,0.0,0.01,0.0,-711.708104581614
43,94.03,5.57,0.095,0.11,0.137,0.012,0.002,0.005,0.007,0.0,0.0001,0.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0019,0.003,0.001,0.0,0.006,0.0,-711.650359526264
44,94.31,5.297,0.097,0.109,0.136,0.009,0.002,0.004,0.004,0.002,0.0002,0.0,0.002,0.0,0.0,0.015,0.0,0.0,0.0,0.002,0.001,0.002,0.0,0.006,0.001,-711.597514522821
45,94.59,5.018,0.095,0.109,0.132,0.008,0.001,0.004,0.006,0.003,0.0003,0.0,0.001,0.0,0.0,0.014,0.0003,0.0,0.0,0.002,0.002,0.001,0.0,0.009,0.0,-711.549310698637
46,94.81,4.807,0.091,0.108,0.134,0.009,0.002,0.003,0.006,0.004,0.0003,0.0,0.0,0.0,0.0,0.015,0.0003,0.0,0.0,0.002,0.0,0.001,0.0,0.01,0.001,-711.505684644119
47,95.03,4.586,0.094,0.11,0.127,0.012,0.002,0.004,0.005,0.003,0.0002,0.0,0.001,0.0,0.0,0.014,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.001,-711.46661244196
48,95.24,4.383,0.091,0.106,0.128,0.009,0.002,0.005,0.008,0.006,0.0004,0.0,0.0,0.0,0.0,0.015,0.0004,0.0,0.0,0.002,0.0,0.001,0.0,0.008,0.001,-711.430504694376
49,95.46,4.154,0.09,0.107,0.129,0.011,0.002,0.004,0.006,0.004,0.0008,0.0,0.002,0.0,0.0,0.016,0.0,0.0,0.0,0.002,0.001,0.003,0.0,0.011,0.001,-711.400274048272
50,95.63,3.998,0.086,0.106,0.125,0.009,0.002,0.004,0.007,0.005,0.0004,0.0,0.001,0.0,0.0,0.017,0.0004,0.0,0.0001,0.002,0.0,0.001,0.0,0.011,0.0,-711.374242905401
51,95.8,3.835,0.085,0.105,0.127,0.01,0.002,0.004,0.005,0.003,0.0003,0.0,0.0,0.0,0.0,0.016,0.0002,0.0,0.0,0.002,0.001,0.0,0.0,0.009,0.0,-711.352263055516
52,95.95,3.68,0.083,0.103,0.127,0.009,0.002,0.004,0.006,0.005,0.0004,0.0,0.001,0.0,0.0,0.018,0.0003,0.0,0.0,0.002,0.001,0.0,0.0,0.009,0.0,-711.334266194642
53,96.11,3.525,0.082,0.102,0.129,0.01,0.002,0.004,0.004,0.004,0.0002,0.0,0.0,0.0,0.0,0.015,0.0001,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.0,-711.319565457684
54,96.2,3.424,0.08,0.102,0.129,0.011,0.002,0.004,0.01,0.005,0.0006,0.0,0.0,0.0,0.0,0.016,0.0003,0.0,0.0,0.002,0.0,0.002,0.0,0.011,0.0,-711.308935609266
55,96.32,3.304,0.083,0.101,0.127,0.011,0.002,0.004,0.007,0.008,0.0006,0.0,0.0,0.0,0.0,0.017,0.0003,0.0,0.0,0.0019,0.001,0.002,0.0,0.01,0.0,-711.302876893948
56,96.42,3.214,0.081,0.102,0.124,0.011,0.002,0.004,0.008,0.006,0.0002,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.012,0.0,-711.299568712557
57,96.51,3.126,0.077,0.102,0.125,0.011,0.001,0.005,0.007,0.005,0.0004,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.0,-711.29999813754
58,96.63,3.016,0.075,0.099,0.128,0.01,0.002,0.005,0.005,0.003,0.0007,0.0,0.0,0.0,0.0,0.017,0.0003,0.0,0.0,0.002,0.0,0.0,0.0,0.009,0.0,-711.304066503446
59,96.69,2.944,0.079,0.099,0.129,0.01,0.002,0.004,0.006,0.004,0.0004,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.0,-711.311669313699
60,96.76,2.873,0.08,0.099,0.13,0.01,0.002,0.004,0.006,0.005,0.0002,0.0,0.0,0.0,0.0,0.016,0.0004,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.0,-711.321154892661
61,96.86,2.783,0.076,0.096,0.129,0.01,0.001,0.003,0.009,0.006,0.0002,0.0,0.0,0.0,0.0,0.016,0.0005,0.0,0.0001,0.002,0.0,0.0,0.0,0.011,0.0,-711.335113317914
62,96.92,2.716,0.073,0.097,0.134,0.012,0.001,0.003,0.008,0.005,0.0003,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.0,-711.352328732305
63,97.01,2.627,0.076,0.095,0.136,0.011,0.002,0.004,0.007,0.004,0.0003,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.012,0.0,-711.372724350861
64,97.04,2.587,0.078,0.095,0.138,0.012,0.002,0.004,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.012,0.0,-711.396198988162
65,97.09,2.536,0.076,0.094,0.138,0.012,0.002,0.004,0.007,0.006,0.0001,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.001,-711.422681815158
66,97.12,2.506,0.078,0.093,0.142,0.011,0.002,0.004,0.009,0.005,0.0005,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.013,0.0,-711.448257952179
67,97.19,2.436,0.076,0.093,0.145,0.012,0.002,0.004,0.009,0.005,0.0002,0.0,0.0,0.0,0.0,0.017,0.0002,0.0,0.0002,0.002,0.0,0.0,0.0,0.013,0.0,-711.480161393829
68,97.24,2.386,0.073,0.092,0.151,0.011,0.001,0.004,0.007,0.006,0.0001,0.0,0.0,0.0,0.0,0.015,0.0002,0.0,0.0001,0.002,0.0,0.0,0.0,0.009,0.0,-711.514788933904
69,97.29,2.335,0.072,0.091,0.154,0.01,0.002,0.004,0.007,0.007,0.0003,0.0,0.0,0.0,0.0,0.016,0.0001,0.0,0.0001,0.002,0.0,0.0,0.0,0.012,0.0,-711.552101051808
70,97.31,2.302,0.073,0.092,0.158,0.012,0.002,0.004,0.006,0.009,0.0003,0.0,0.0,0.0,0.0,0.017,0.0001,0.0,0.0001,0.002,0.0,0.001,0.0,0.013,0.001,-711.591962675078
71,97.34,2.257,0.075,0.092,0.164,0.011,0.002,0.004,0.007,0.008,0.0005,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0001,0.002,0.0,0.006,0.0,0.014,0.0,-711.628915926059
72,97.4,2.21,0.074,0.09,0.169,0.011,0.002,0.004,0.008,0.006,0.0001,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.013,0.003,-711.673471531857
73,97.45,2.144,0.073,0.089,0.177,0.012,0.002,0.004,0.007,0.007,0.0001,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.012,0.001,-711.72037159243
74,97.47,2.127,0.07,0.088,0.181,0.013,0.001,0.005,0.008,0.006,0.0003,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.013,0.0,-711.769568357497
75,97.49,2.102,0.069,0.087,0.186,0.012,0.001,0.004,0.009,0.006,0.0001,0.0,0.0,0.0,0.0,0.016,0.0001,0.0,0.0002,0.002,0.0,0.001,0.0,0.014,0.0,-711.814428462666
76,97.53,2.056,0.068,0.088,0.194,0.013,0.002,0.004,0.006,0.007,0.0005,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0002,0.002,0.0,0.0,0.0,0.012,0.002,-711.867694585678
77,97.55,2.024,0.072,0.086,0.199,0.012,0.002,0.005,0.009,0.009,0.0007,0.0,0.0,0.0,0.0,0.014,0.0004,0.0,0.0002,0.002,0.0,0.0,0.0001,0.012,0.001,-711.923000305545
78,97.57,1.997,0.07,0.086,0.207,0.01,0.002,0.004,0.009,0.008,0.0007,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0001,0.002,0.0,0.006,0.0001,0.012,0.004,-711.980345710355
79,97.57,1.986,0.073,0.084,0.216,0.01,0.002,0.004,0.007,0.008,0.0003,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0002,0.0019,0.0,0.007,0.0001,0.014,0.004,-712.032110790546
80,97.59,1.956,0.076,0.084,0.223,0.011,0.002,0.004,0.006,0.009,0.0006,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0003,0.002,0.0,0.0,0.0,0.014,0.003,-712.092979169115
81,97.63,1.914,0.074,0.085,0.231,0.011,0.002,0.005,0.008,0.009,0.0006,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0002,0.002,0.0,0.001,0.0001,0.014,0.001,-712.155639788175
82,97.63,1.903,0.074,0.083,0.238,0.01,0.001,0.004,0.008,0.009,0.0002,0.0,0.0,0.0,0.0,0.015,0.0001,0.0,0.0002,0.002,0.0,0.004,0.0001,0.013,0.004,-712.220064900915
83,97.64,1.866,0.076,0.084,0.252,0.012,0.002,0.005,0.011,0.01,0.0002,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0002,0.002,0.001,0.008,0.0001,0.012,0.007,-712.277819476111
84,97.62,1.873,0.077,0.083,0.265,0.012,0.002,0.004,0.006,0.011,0.0007,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0001,0.002,0.001,0.006,0.0001,0.013,0.007,-712.345246284119
85,97.66,1.834,0.08,0.082,0.27,0.011,0.002,0.004,0.006,0.011,0.0002,0.0,0.0,0.0,0.0,0.015,0.0002,0.0,0.0002,0.0019,0.0,0.0,0.0002,0.014,0.006,-712.414239481349
86,97.66,1.822,0.08,0.083,0.283,0.009,0.002,0.005,0.008,0.012,0.0,0.0,0.0,0.0,0.0,0.015,0.0006,0.0,0.0003,0.002,0.0,0.001,0.0001,0.013,0.009,-712.48454386226
87,97.68,1.798,0.081,0.082,0.293,0.01,0.001,0.005,0.007,0.01,0.0004,0.0,0.0,0.0,0.0,0.016,0.0003,0.0,0.0002,0.0019,0.0,0.003,0.0001,0.013,0.003,-712.54717899205
88,97.67,1.789,0.082,0.081,0.305,0.012,0.001,0.004,0.007,0.01,0.0004,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0002,0.002,0.0,0.002,0.0001,0.011,0.007,-712.620070323982
89,97.67,1.78,0.08,0.079,0.311,0.009,0.001,0.004,0.008,0.011,0.0002,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.012,0.011,-712.694267835182
90,97.65,1.774,0.087,0.081,0.327,0.01,0.002,0.005,0.005,0.009,0.0006,0.0,0.001,0.0,0.0,0.015,0.0,0.0,0.0001,0.002,0.002,0.0,0.0,0.014,0.013,-712.769556550911
91,97.65,1.764,0.085,0.082,0.338,0.01,0.002,0.004,0.006,0.011,0.0003,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0002,0.002,0.002,0.0,0.0,0.015,0.015,-712.836418546152
92,97.65,1.754,0.085,0.077,0.361,0.011,0.002,0.004,0.006,0.011,0.0003,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0001,0.002,0.0,0.002,0.0,0.012,0.01,-712.913768951585
93,97.65,1.74,0.086,0.08,0.367,0.012,0.002,0.004,0.005,0.01,0.0005,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0001,0.002,0.001,0.004,0.0001,0.013,0.014,-712.992227701057
94,97.64,1.724,0.087,0.079,0.389,0.013,0.002,0.005,0.006,0.011,0.0005,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0002,0.002,0.001,0.0,0.0,0.014,0.017,-713.061591571893
95,97.63,1.708,0.088,0.078,0.407,0.009,0.002,0.004,0.008,0.011,0.0001,0.0,0.0,0.0,0.0,0.015,0.0008,0.0,0.0002,0.002,0.0,0.004,0.0001,0.014,0.016,-713.141665999782
96,97.61,1.709,0.089,0.078,0.427,0.012,0.002,0.004,0.007,0.01,0.0004,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0002,0.002,0.002,0.0,0.0002,0.015,0.016,-713.22261814844
97,97.58,1.721,0.09,0.078,0.438,0.011,0.002,0.005,0.007,0.013,0.0003,0.0,0.0,0.0,0.0,0.014,0.0003,0.0,0.0003,0.002,0.002,0.0,0.0001,0.012,0.02,-713.293974230132
98,97.58,1.689,0.098,0.079,0.46,0.013,0.001,0.005,0.008,0.012,0.0005,0.0,0.0,0.0,0.0,0.014,0.0001,0.0,0.0001,0.002,0.005,0.0,0.0001,0.012,0.02,-713.376150294023
99,97.54,1.694,0.1,0.079,0.484,0.011,0.001,0.005,0.006,0.01,0.0006,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0002,0.002,0.007,0.004,0.0001,0.014,0.023,-713.459139485669
