,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
3751,97.39,0.043,0.134,0.492,1.306,0.311,0.0,0.007,0.098,0.144,0.0022,0.0,0.0,0.0003,0.0,0.018,0.0008,0.0,0.0,0.002,0.042,0.0,0.0,0.006,0.0,-679.698047293272
3752,97.4,0.043,0.134,0.491,1.305,0.311,0.0,0.008,0.097,0.144,0.0025,0.0,0.0,0.0001,0.0,0.018,0.0005,0.0,0.0,0.002,0.046,0.0,0.0,0.007,0.0,-679.751237452578
3753,97.39,0.043,0.133,0.491,1.305,0.311,0.0,0.008,0.096,0.144,0.0021,0.0,0.0,0.0002,0.0,0.019,0.0001,0.0,0.0,0.0021,0.043,0.0,0.0,0.009,0.0,-679.804052349452
3754,97.41,0.043,0.132,0.491,1.304,0.312,0.0,0.007,0.095,0.144,0.0023,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.0021,0.029,0.0,0.0,0.006,0.0,-679.856285430725
3755,97.41,0.043,0.131,0.491,1.303,0.312,0.0,0.007,0.095,0.144,0.0021,0.0,0.0,0.0003,0.0,0.019,0.0001,0.0,0.0,0.0021,0.032,0.0,0.0,0.006,0.0,-679.908071636226
3756,97.4,0.043,0.131,0.491,1.302,0.312,0.0,0.008,0.094,0.144,0.0021,0.0,0.0,0.0003,0.0,0.018,0.0009,0.0,0.0,0.002,0.036,0.002,0.0,0.006,0.0,-679.959250382888
3757,97.4,0.042,0.13,0.49,1.302,0.312,0.0,0.008,0.093,0.145,0.0024,0.0,0.0,0.0004,0.0,0.019,0.0011,0.0,0.0,0.0021,0.04,0.004,0.0,0.006,0.0,-680.009851577537
3758,97.41,0.042,0.13,0.491,1.301,0.312,0.0,0.008,0.093,0.146,0.0023,0.0,0.0,0.0003,0.0,0.017,0.0009,0.0,0.0,0.0021,0.041,0.001,0.0,0.006,0.0,-680.0596670703831
3759,97.41,0.042,0.13,0.491,1.299,0.313,0.0,0.008,0.092,0.146,0.0022,0.0,0.0,0.0003,0.0,0.019,0.0012,0.0,0.0,0.0021,0.038,0.001,0.0,0.007,0.0,-680.108677239028
3760,97.41,0.042,0.129,0.491,1.297,0.313,0.0,0.008,0.091,0.147,0.0019,0.0,0.0,0.0004,0.0,0.018,0.002,0.0,0.0,0.0021,0.042,0.0,0.0,0.007,0.0,-680.156857849546
3761,97.41,0.042,0.13,0.491,1.296,0.313,0.0,0.008,0.09,0.147,0.002,0.0,0.0,0.0003,0.0,0.018,0.0014,0.0,0.0,0.0021,0.045,0.0,0.0,0.006,0.0,-680.204092187239
3762,97.42,0.043,0.129,0.491,1.295,0.313,0.0,0.007,0.09,0.148,0.0022,0.0,0.0,0.0003,0.0,0.017,0.0002,0.0,0.0,0.0021,0.042,0.0,0.0,0.007,0.0,-680.250350652299
3763,97.42,0.043,0.13,0.491,1.294,0.313,0.0,0.008,0.089,0.148,0.0021,0.0,0.0,0.0002,0.0,0.019,0.0001,0.0,0.0,0.0021,0.037,0.0,0.0,0.007,0.0,-680.295431523822
3764,97.42,0.043,0.129,0.491,1.292,0.313,0.0,0.008,0.089,0.149,0.0019,0.0,0.0,0.0002,0.0,0.017,0.0001,0.0,0.0,0.002,0.039,0.0,0.0,0.006,0.0,-680.33938707344
3765,97.41,0.043,0.13,0.491,1.292,0.313,0.0,0.008,0.088,0.149,0.0022,0.0,0.0,0.0002,0.0,0.019,0.0003,0.0,0.0,0.002,0.039,0.0,0.0,0.008,0.0,-680.382175880544
3766,97.42,0.043,0.129,0.491,1.292,0.313,0.0,0.008,0.088,0.149,0.0023,0.0,0.0,0.0003,0.0,0.019,0.0,0.0,0.0,0.002,0.034,0.0,0.0,0.007,0.0,-680.423597410812
3767,97.41,0.043,0.129,0.491,1.291,0.313,0.0,0.007,0.088,0.149,0.0022,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.002,0.038,0.0,0.0,0.005,0.0,-680.470143462542
3768,97.43,0.043,0.129,0.491,1.291,0.313,0.0,0.008,0.087,0.15,0.002,0.0,0.0,0.0003,0.0,0.017,0.0002,0.0,0.0,0.002,0.036,0.0,0.0,0.006,0.0,-680.508409710123
3769,97.42,0.043,0.128,0.491,1.291,0.313,0.0,0.008,0.086,0.151,0.0024,0.0,0.0,0.0002,0.0,0.019,0.0016,0.0,0.0,0.002,0.038,0.0,0.0,0.006,0.0,-680.545119912041
3770,97.42,0.043,0.128,0.491,1.29,0.313,0.0,0.008,0.086,0.151,0.0021,0.0001,0.0,0.0003,0.0,0.019,0.0001,0.0,0.0,0.0021,0.037,0.0,0.0,0.006,0.0,-680.580182553632
3771,97.42,0.043,0.127,0.492,1.288,0.314,0.0,0.008,0.085,0.151,0.0021,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.0021,0.041,0.0,0.0,0.005,0.0,-680.613473649589
3772,97.42,0.043,0.126,0.492,1.286,0.314,0.0,0.008,0.084,0.152,0.0021,0.0,0.0,0.0003,0.0,0.02,0.001,0.0,0.0,0.002,0.036,0.0,0.0,0.006,0.0,-680.644930606009
3773,97.43,0.043,0.126,0.492,1.285,0.314,0.0,0.008,0.084,0.152,0.0024,0.0,0.0,0.0003,0.0,0.019,0.0001,0.0,0.0,0.002,0.032,0.001,0.0,0.006,0.0,-680.674428513882
3774,97.42,0.043,0.125,0.491,1.284,0.314,0.0,0.009,0.083,0.153,0.0023,0.0,0.0,0.0002,0.0,0.018,0.0,0.0,0.0,0.0021,0.036,0.004,0.0,0.006,0.0,-680.701872334059
3775,97.43,0.042,0.124,0.492,1.284,0.315,0.0,0.008,0.083,0.153,0.0022,0.0,0.0,0.0002,0.0,0.018,0.0001,0.0,0.0,0.0021,0.04,0.002,0.0,0.007,0.0,-680.72714258996
3776,97.44,0.042,0.124,0.492,1.283,0.315,0.0,0.008,0.082,0.154,0.0022,0.0,0.0,0.0002,0.0,0.018,0.0004,0.0,0.0,0.002,0.046,0.0,0.0,0.006,0.0,-680.750207730366
3777,97.44,0.042,0.124,0.491,1.282,0.315,0.0,0.007,0.081,0.155,0.0022,0.0,0.0,0.0002,0.0,0.019,0.0,0.0,0.0,0.0021,0.037,0.0,0.0,0.007,0.0,-680.770917439472
3778,97.44,0.042,0.124,0.491,1.282,0.315,0.0,0.008,0.081,0.155,0.0022,0.0,0.0,0.0002,0.0,0.019,0.0001,0.0,0.0,0.002,0.039,0.0,0.0,0.007,0.0,-680.78915263662
3779,97.44,0.042,0.124,0.491,1.282,0.315,0.0,0.008,0.08,0.155,0.0022,0.0,0.0,0.0003,0.0,0.019,0.0002,0.0,0.0,0.002,0.04,0.0,0.0,0.005,0.0,-680.804828585079
3780,97.43,0.042,0.124,0.49,1.283,0.315,0.0,0.007,0.079,0.156,0.0024,0.0,0.0,0.0003,0.0,0.017,0.0001,0.0,0.0,0.002,0.04,0.002,0.0,0.006,0.0,-680.81785976486
3781,97.43,0.042,0.125,0.49,1.285,0.315,0.0,0.007,0.079,0.157,0.0019,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.002,0.04,0.001,0.0,0.01,0.0,-680.828112934332
3782,97.43,0.042,0.126,0.489,1.287,0.314,0.0,0.007,0.078,0.158,0.0023,0.0001,0.0,0.0004,0.0,0.02,0.0,0.0,0.0,0.002,0.04,0.001,0.0,0.008,0.0,-680.835456996241
3783,97.45,0.042,0.127,0.489,1.289,0.314,0.0,0.007,0.078,0.158,0.0022,0.0001,0.0,0.0004,0.0,0.018,0.0,0.0,0.0,0.002,0.033,0.001,0.0,0.005,0.0,-680.839791174752
3784,97.44,0.042,0.127,0.489,1.289,0.314,0.0,0.007,0.077,0.159,0.0021,0.0,0.0,0.0002,0.0,0.018,0.0,0.0,0.0,0.002,0.027,0.0,0.0,0.008,0.0,-680.840990608079
3785,97.41,0.042,0.127,0.489,1.289,0.315,0.0,0.007,0.076,0.16,0.0023,0.0,0.0,0.0002,0.0,0.017,0.0,0.0,0.0,0.002,0.043,0.0,0.0,0.009,0.0,-680.838939835215
3786,97.43,0.042,0.128,0.488,1.29,0.314,0.0,0.007,0.076,0.161,0.0019,0.0,0.0,0.0003,0.0,0.019,0.0006,0.0,0.0,0.002,0.036,0.0,0.0,0.008,0.0,-680.833513990505
3787,97.41,0.041,0.129,0.488,1.291,0.314,0.0,0.008,0.075,0.161,0.0022,0.0,0.0,0.0003,0.0,0.019,0.0007,0.0,0.0,0.0021,0.033,0.005,0.0,0.008,0.0,-680.824580092765
3788,97.43,0.041,0.129,0.489,1.291,0.314,0.0,0.008,0.075,0.161,0.0024,0.0,0.0,0.0003,0.0,0.019,0.0,0.0,0.0,0.002,0.031,0.003,0.0,0.007,0.0,-680.812002156722
3789,97.43,0.041,0.129,0.489,1.292,0.314,0.0,0.008,0.074,0.162,0.0025,0.0,0.0,0.0003,0.0,0.02,0.0014,0.0,0.0,0.002,0.038,0.006,0.0,0.005,0.0,-680.795624237796
3790,97.42,0.041,0.129,0.489,1.291,0.314,0.0,0.008,0.074,0.163,0.0025,0.0,0.0,0.0003,0.0,0.021,0.0002,0.0,0.0,0.0021,0.037,0.002,0.0,0.007,0.0,-680.775354916306
3791,97.41,0.041,0.129,0.489,1.29,0.314,0.0,0.007,0.073,0.164,0.0022,0.0,0.0,0.0003,0.0,0.02,0.0001,0.0,0.0,0.002,0.044,0.0,0.0,0.006,0.0,-680.751071307906
3792,97.43,0.041,0.128,0.489,1.29,0.314,0.0,0.007,0.072,0.165,0.0022,0.0,0.0,0.0002,0.0,0.019,0.0,0.0,0.0,0.002,0.041,0.0,0.0,0.007,0.0,-680.722592266396
3793,97.42,0.041,0.128,0.489,1.289,0.315,0.0,0.008,0.072,0.165,0.0025,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.002,0.042,0.0,0.0,0.007,0.0,-680.689799593528
3794,97.42,0.041,0.129,0.489,1.29,0.315,0.0,0.008,0.071,0.165,0.0026,0.0,0.0,0.0003,0.0,0.019,0.0011,0.0,0.0,0.0021,0.033,0.0,0.0,0.007,0.0,-680.652478971573
3795,97.43,0.041,0.13,0.489,1.29,0.314,0.0,0.008,0.07,0.165,0.0024,0.0,0.0,0.0004,0.0,0.019,0.0008,0.0,0.0,0.002,0.034,0.0,0.0,0.006,0.0,-680.610583274913
3796,97.43,0.041,0.13,0.489,1.29,0.314,0.0,0.008,0.069,0.166,0.0024,0.0,0.0,0.0004,0.0,0.019,0.0002,0.0,0.0,0.002,0.031,0.0,0.0,0.005,0.0,-680.563933450945
3797,97.43,0.042,0.129,0.489,1.29,0.315,0.0,0.008,0.069,0.166,0.0023,0.0,0.0,0.0003,0.0,0.018,0.0,0.0,0.0,0.0021,0.037,0.0,0.0,0.004,0.0,-680.512330308611
3798,97.43,0.042,0.13,0.489,1.289,0.314,0.0,0.007,0.069,0.167,0.0022,0.0001,0.0,0.0003,0.0,0.019,0.0004,0.0,0.0,0.002,0.034,0.0,0.0,0.006,0.0,-680.455607744561
3799,97.43,0.042,0.13,0.489,1.288,0.314,0.0,0.008,0.068,0.168,0.0025,0.0001,0.0,0.0003,0.0,0.02,0.0007,0.0,0.0,0.002,0.028,0.001,0.0,0.005,0.0,-680.393655711426
3800,97.43,0.042,0.13,0.489,1.288,0.314,0.0,0.008,0.068,0.168,0.0025,0.0,0.0,0.0003,0.0,0.019,0.0,0.0,0.0,0.0021,0.031,0.002,0.0,0.008,0.0,-680.326251578338
3801,97.42,0.042,0.131,0.489,1.289,0.315,0.0,0.007,0.068,0.168,0.0022,0.0,0.0,0.0003,0.0,0.019,0.0016,0.0,0.0,0.002,0.037,0.001,0.0,0.009,0.0,-680.253288829063
3802,97.42,0.041,0.131,0.489,1.29,0.315,0.0,0.007,0.067,0.168,0.0026,0.0,0.0,0.0003,0.0,0.018,0.0013,0.0,0.0,0.002,0.033,0.0,0.0,0.008,0.0,-680.174678683908
3803,97.44,0.042,0.131,0.49,1.291,0.315,0.0,0.008,0.067,0.168,0.0025,0.0,0.0,0.0003,0.0,0.019,0.0,0.0,0.0,0.0021,0.031,0.0,0.0,0.006,0.0,-680.090109684553
3804,97.43,0.042,0.131,0.49,1.291,0.315,0.0,0.007,0.066,0.168,0.0023,0.0,0.0,0.0002,0.0,0.017,0.0001,0.0,0.0,0.0021,0.037,0.0,0.0,0.008,0.0,-679.999309549534
3805,97.42,0.042,0.131,0.49,1.292,0.315,0.0,0.008,0.066,0.169,0.0025,0.0,0.0,0.0003,0.0,0.018,0.0002,0.0,0.0,0.002,0.037,0.0,0.0,0.007,0.0,-679.902439534252
3806,97.41,0.042,0.132,0.49,1.292,0.316,0.0,0.007,0.066,0.169,0.0024,0.0,0.0,0.0003,0.0,0.019,0.0006,0.0,0.0,0.002,0.041,0.0,0.0,0.007,0.0,-679.798966982997
3807,97.42,0.043,0.132,0.489,1.292,0.316,0.0,0.007,0.066,0.169,0.0025,0.0,0.0,0.0002,0.0,0.02,0.0004,0.0,0.0,0.0021,0.035,0.0,0.0,0.007,0.0,-679.688989728526
3808,97.41,0.043,0.132,0.489,1.293,0.317,0.0,0.008,0.065,0.169,0.0026,0.0,0.0,0.0003,0.0,0.021,0.0009,0.0,0.0,0.002,0.046,0.0,0.0,0.008,0.0,-679.57212359649
3809,97.4,0.043,0.131,0.489,1.293,0.318,0.0,0.007,0.065,0.169,0.0027,0.0,0.0,0.0005,0.0,0.02,0.0,0.0,0.0,0.002,0.04,0.0,0.0,0.008,0.0,-679.448164680069
3810,97.41,0.044,0.131,0.489,1.293,0.318,0.0,0.007,0.065,0.169,0.0024,0.0,0.0,0.0003,0.0,0.019,0.0,0.0,0.0,0.002,0.033,0.0,0.0,0.007,0.0,-679.317028801852
3811,97.41,0.044,0.131,0.489,1.292,0.318,0.0,0.008,0.064,0.169,0.0024,0.0,0.0,0.0002,0.0,0.017,0.0,0.0,0.0,0.002,0.036,0.0,0.0,0.009,0.0,-679.17826322025
3812,97.41,0.044,0.13,0.489,1.29,0.318,0.0,0.008,0.064,0.169,0.0025,0.0,0.0,0.0002,0.0,0.018,0.0,0.0,0.0,0.002,0.042,0.0,0.0,0.008,0.0,-679.032044180855
4000,66.87,24.716,0.847,0.126,0.527,2.747,0.007,0.045,0.058,0.002,0.0083,0.0064,1.632,0.104,0.064,0.002,0.0757,0.0,0.0842,0.0157,0.272,0.875,0.6895,0.144,0.086,-721.189907344633
4001,65.64,31.947,1.045,0.112,0.58,0.131,0.003,0.015,0.002,0.001,0.0021,0.0006,0.301,0.0026,0.003,0.002,0.0119,0.0,0.0028,0.0028,0.003,0.096,0.0562,0.024,0.016,-721.059953107534
4002,67.93,30.387,0.765,0.1,0.397,0.066,0.002,0.011,0.002,0.0,0.0018,0.0002,0.224,0.0006,0.001,0.002,0.0079,0.0,0.0009,0.0026,0.001,0.045,0.0261,0.019,0.01,-720.931569904524
4003,72.16,26.502,0.6,0.095,0.312,0.053,0.002,0.009,0.001,0.001,0.0014,0.0002,0.189,0.0001,0.0,0.003,0.0068,0.0,0.0001,0.0024,0.0,0.033,0.0157,0.013,0.005,-720.803834243071
4004,77.74,21.175,0.455,0.098,0.257,0.045,0.001,0.006,0.002,0.001,0.0015,0.0002,0.16,0.0,0.0,0.004,0.0045,0.0,0.0,0.0024,0.0,0.013,0.0103,0.014,0.01,-720.678649110452
4005,82.33,16.731,0.36,0.105,0.229,0.049,0.001,0.006,0.002,0.002,0.001,0.0001,0.141,0.0,0.0,0.006,0.0033,0.0,0.0,0.0023,0.0,0.009,0.008,0.011,0.007,-720.556304267676
4006,85.41,13.733,0.302,0.106,0.216,0.045,0.0,0.007,0.006,0.003,0.0009,0.0001,0.124,0.0,0.001,0.007,0.0006,0.0,0.0,0.0023,0.0,0.016,0.0065,0.012,0.003,-720.429913293179
4007,87.51,11.663,0.275,0.11,0.206,0.048,0.0,0.006,0.006,0.004,0.0008,0.0,0.117,0.0,0.0,0.01,0.0016,0.0,0.0,0.0023,0.0,0.017,0.0056,0.015,0.009,-720.308007189719
4008,88.98,10.238,0.255,0.112,0.196,0.044,0.0,0.006,0.006,0.003,0.0011,0.0,0.11,0.0,0.0,0.009,0.0024,0.0,0.0,0.0022,0.0,0.006,0.0047,0.014,0.008,-720.186697782977
4009,89.92,9.291,0.245,0.114,0.197,0.051,0.001,0.004,0.006,0.004,0.0009,0.0001,0.101,0.0,0.0,0.011,0.0015,0.0,0.0,0.0022,0.0,0.024,0.004,0.013,0.011,-720.066416178955
4010,90.58,8.69,0.228,0.113,0.195,0.049,0.001,0.004,0.004,0.005,0.0007,0.0001,0.087,0.0,0.0,0.01,0.0007,0.0,0.0,0.0023,0.0,0.004,0.0035,0.012,0.007,-719.943623930718
4011,90.96,8.311,0.225,0.114,0.195,0.049,0.001,0.004,0.005,0.005,0.0009,0.0001,0.082,0.0,0.0,0.011,0.001,0.0,0.0,0.0022,0.001,0.011,0.0028,0.011,0.01,-719.825501390834
4012,91.18,8.13,0.218,0.115,0.19,0.047,0.0,0.005,0.006,0.003,0.0008,0.0001,0.069,0.0,0.0,0.011,0.0007,0.0,0.0,0.0023,0.001,0.003,0.0023,0.01,0.007,-719.708270344359
4013,91.35,7.955,0.215,0.113,0.191,0.049,0.0,0.004,0.007,0.006,0.0004,0.0001,0.065,0.0,0.0,0.01,0.0006,0.0,0.0,0.0022,0.0,0.009,0.0019,0.011,0.009,-719.588788500687
4014,91.38,7.947,0.212,0.117,0.191,0.051,0.0,0.005,0.006,0.004,0.0005,0.0001,0.059,0.0,0.0,0.01,0.0015,0.0,0.0,0.0023,0.0,0.001,0.0014,0.011,0.004,-719.473964852156
4015,91.4,7.933,0.21,0.114,0.187,0.052,0.0,0.005,0.003,0.006,0.0008,0.0,0.058,0.0,0.0,0.01,0.0009,0.0,0.0,0.0022,0.0,0.001,0.0013,0.011,0.007,-719.356399529281
4016,91.48,7.862,0.21,0.115,0.19,0.05,0.0,0.005,0.006,0.006,0.0002,0.0,0.049,0.0,0.0,0.01,0.0011,0.0,0.0,0.0022,0.0,0.001,0.001,0.01,0.006,-719.243521283497
4017,91.57,7.782,0.209,0.116,0.183,0.053,0.0,0.004,0.006,0.005,0.0005,0.0,0.038,0.0,0.0,0.009,0.0012,0.0,0.0,0.0022,0.0,0.003,0.0008,0.012,0.006,-719.128344108767
4018,91.6,7.767,0.205,0.113,0.183,0.05,0.001,0.004,0.004,0.007,0.0002,0.0,0.037,0.0,0.0,0.009,0.0016,0.0,0.0,0.0022,0.0,0.001,0.0005,0.009,0.003,-719.01747108473
4019,91.69,7.671,0.203,0.116,0.181,0.051,0.0,0.005,0.006,0.008,0.0003,0.0,0.04,0.0,0.0,0.01,0.0012,0.0,0.0,0.0022,0.0,0.003,0.0004,0.011,0.004,-718.904028535346
4020,91.65,7.722,0.194,0.116,0.184,0.05,0.001,0.004,0.005,0.008,0.0003,0.0001,0.033,0.0,0.0,0.009,0.0004,0.0,0.0,0.0022,0.001,0.004,0.0004,0.009,0.006,-718.791653687848
4021,91.75,7.638,0.194,0.114,0.179,0.052,0.0,0.005,0.005,0.008,0.0002,0.0,0.032,0.0,0.001,0.009,0.0005,0.0,0.0,0.0022,0.0,0.003,0.0001,0.008,0.002,-718.683579247376
4022,91.85,7.554,0.189,0.112,0.174,0.054,0.001,0.005,0.003,0.007,0.0002,0.0,0.028,0.0,0.0,0.008,0.0012,0.0,0.0,0.0022,0.0,0.004,0.0001,0.01,0.0,-718.573084432834
4023,91.87,7.53,0.184,0.112,0.175,0.052,0.0,0.004,0.003,0.006,0.0004,0.0,0.023,0.0,0.0,0.01,0.0015,0.0,0.0,0.0021,0.0,0.01,0.0001,0.011,0.002,-718.46333474534
4024,91.97,7.445,0.179,0.111,0.169,0.052,0.0,0.004,0.004,0.008,0.0003,0.0,0.022,0.0,0.0,0.01,0.0013,0.0,0.0,0.0022,0.0,0.002,0.0,0.01,0.005,-718.3548057522
4025,92.04,7.379,0.182,0.111,0.168,0.051,0.0,0.004,0.003,0.006,0.0001,0.0,0.024,0.0,0.0,0.01,0.0008,0.0,0.0,0.0021,0.0,0.0,0.0001,0.011,0.002,-718.250247779915
4026,92.16,7.275,0.175,0.112,0.166,0.052,0.0,0.004,0.003,0.007,0.0004,0.0,0.02,0.0,0.0,0.01,0.0025,0.0,0.0,0.0021,0.001,0.002,0.0,0.012,0.002,-718.143429207216
4027,92.27,7.169,0.172,0.11,0.159,0.053,0.001,0.004,0.005,0.007,0.0001,0.0,0.018,0.0,0.0,0.011,0.0008,0.0,0.0,0.0022,0.0,0.002,0.0001,0.007,0.005,-718.037418696454
4028,92.43,7.032,0.157,0.11,0.158,0.052,0.0,0.005,0.007,0.007,0.0004,0.0001,0.018,0.0,0.0,0.009,0.0,0.0,0.0,0.0022,0.0,0.003,0.0001,0.011,0.001,-717.932116059026
4029,92.54,6.918,0.155,0.111,0.152,0.051,0.0,0.003,0.007,0.01,0.0003,0.0001,0.018,0.0,0.0,0.01,0.0002,0.0,0.0,0.0022,0.0,0.003,0.0,0.013,0.001,-717.827794132748
4030,92.7,6.777,0.151,0.11,0.15,0.051,0.0,0.003,0.006,0.009,0.0001,0.0,0.014,0.0,0.0,0.01,0.0011,0.0,0.0,0.0022,0.0,0.005,0.0001,0.011,0.004,-717.724258149211
4031,92.93,6.571,0.143,0.107,0.144,0.05,0.0,0.003,0.006,0.01,0.0001,0.0,0.01,0.0,0.0,0.011,0.0001,0.0,0.0,0.0021,0.0,0.004,0.0001,0.009,0.002,-717.621683604477
4032,93.11,6.391,0.139,0.109,0.142,0.052,0.001,0.004,0.004,0.008,0.0002,0.0,0.007,0.0,0.0,0.01,0.0002,0.0,0.0,0.0022,0.0,0.005,0.0,0.01,0.001,-717.519878660709
4033,93.27,6.25,0.128,0.109,0.136,0.054,0.0,0.005,0.004,0.011,0.0003,0.0,0.007,0.0,0.0,0.011,0.0005,0.0,0.0,0.0021,0.0,0.003,0.0,0.01,0.0,-717.418836602101
4034,93.5,6.016,0.126,0.107,0.135,0.053,0.0,0.005,0.007,0.011,0.0003,0.0,0.005,0.0,0.0,0.01,0.0005,0.0,0.0,0.0022,0.001,0.005,0.0,0.01,0.004,-717.318728999155
4035,93.7,5.827,0.124,0.107,0.137,0.051,0.0,0.004,0.005,0.009,0.0002,0.0,0.007,0.0,0.0,0.011,0.0002,0.0,0.0,0.0022,0.0,0.001,0.0001,0.013,0.002,-717.219279827922
4036,93.91,5.619,0.121,0.108,0.135,0.052,0.001,0.004,0.004,0.01,0.0007,0.0,0.005,0.0,0.0,0.012,0.0,0.0,0.0,0.0022,0.0,0.008,0.0001,0.01,0.001,-717.120660091351
4037,94.14,5.408,0.117,0.106,0.13,0.053,0.0,0.003,0.005,0.009,0.0004,0.0,0.007,0.0,0.0,0.011,0.0004,0.0,0.0,0.0021,0.0,0.001,0.0,0.009,0.001,-717.022774115992
4038,94.35,5.187,0.122,0.108,0.127,0.049,0.0,0.004,0.006,0.009,0.0002,0.0,0.006,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.001,0.004,0.0001,0.008,0.002,-716.925788396009
4039,94.52,5.017,0.114,0.106,0.129,0.056,0.0,0.003,0.006,0.012,0.0002,0.0,0.005,0.0,0.001,0.011,0.001,0.0,0.0,0.0022,0.0,0.0,0.0,0.014,0.002,-716.829520880133
4040,94.69,4.857,0.12,0.107,0.128,0.051,0.0,0.003,0.006,0.012,0.0001,0.0,0.004,0.0,0.0,0.01,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.014,0.001,-716.73387992524
4041,94.86,4.693,0.111,0.105,0.122,0.057,0.0,0.004,0.005,0.009,0.0,0.0,0.005,0.0,0.0,0.012,0.0016,0.0,0.0,0.0021,0.001,0.002,0.0,0.008,0.002,-716.639114839878
4042,94.99,4.569,0.107,0.106,0.123,0.056,0.0,0.004,0.005,0.009,0.0002,0.0,0.002,0.0,0.0,0.01,0.0011,0.0,0.0,0.0021,0.0,0.001,0.0001,0.01,0.0,-716.545047565222
4043,95.15,4.409,0.108,0.106,0.121,0.053,0.001,0.005,0.006,0.013,0.0002,0.0001,0.004,0.0,0.0,0.011,0.0002,0.0,0.0,0.0022,0.0,0.003,0.0001,0.011,0.0,-716.451671802512
4044,95.28,4.285,0.108,0.104,0.118,0.054,0.0,0.004,0.008,0.012,0.0001,0.0,0.004,0.0,0.0,0.011,0.0003,0.0,0.0,0.0022,0.0,0.0,0.0001,0.009,0.0,-716.359146788128
4045,95.42,4.134,0.107,0.106,0.116,0.053,0.0,0.004,0.007,0.013,0.0,0.0001,0.007,0.0,0.0,0.012,0.0006,0.0,0.0,0.0022,0.0,0.002,0.0001,0.013,0.004,-716.2673805122
4046,95.55,4.013,0.102,0.106,0.117,0.053,0.0,0.004,0.007,0.011,0.0002,0.0,0.003,0.0,0.0,0.013,0.0005,0.0,0.0,0.0022,0.0,0.006,0.0001,0.011,0.002,-716.173511090392
4047,95.68,3.903,0.097,0.104,0.113,0.053,0.0,0.004,0.006,0.013,0.0001,0.0,0.003,0.0,0.001,0.01,0.0005,0.0,0.0,0.0023,0.001,0.001,0.0,0.011,0.001,-716.083259180885
4048,95.78,3.798,0.098,0.1,0.113,0.057,0.0,0.004,0.008,0.012,0.0003,0.0,0.001,0.0,0.0,0.012,0.0001,0.0,0.0,0.0021,0.0,0.005,0.0,0.009,0.002,-715.993661753237
4049,95.88,3.699,0.098,0.101,0.111,0.053,0.0,0.004,0.007,0.013,0.0001,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0022,0.0,0.0,0.0001,0.014,0.005,-715.904633011884
4050,95.98,3.602,0.097,0.104,0.112,0.058,0.0,0.004,0.005,0.011,0.0003,0.0001,0.002,0.0,0.0,0.011,0.0004,0.0,0.0,0.0022,0.0,0.004,0.0001,0.009,0.001,-715.813872257165
4051,96.06,3.539,0.085,0.101,0.11,0.056,0.0,0.004,0.006,0.011,0.0003,0.0,0.001,0.0,0.0,0.012,0.0003,0.0,0.0,0.0022,0.0,0.0,0.0001,0.012,0.002,-715.7263777235
4052,96.2,3.399,0.088,0.101,0.107,0.056,0.0,0.003,0.004,0.012,0.0002,0.0001,0.001,0.0,0.0,0.012,0.0,0.0,0.0,0.0022,0.0,0.008,0.0001,0.009,0.0,-715.639511336789
4053,96.26,3.334,0.096,0.1,0.109,0.055,0.0,0.004,0.006,0.011,0.0002,0.0,0.001,0.0,0.0,0.011,0.0001,0.0,0.0,0.0022,0.0,0.0,0.0001,0.008,0.001,-715.550865323341
4054,96.35,3.243,0.086,0.102,0.11,0.055,0.0,0.004,0.008,0.014,0.0001,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0022,0.002,0.005,0.0001,0.011,0.001,-715.465408651402
4055,96.42,3.171,0.086,0.102,0.107,0.055,0.0,0.003,0.007,0.013,0.0004,0.0,0.001,0.0,0.0,0.011,0.0001,0.0,0.0,0.0022,0.0,0.004,0.0001,0.01,0.003,-715.380560268434
4056,96.49,3.103,0.085,0.101,0.109,0.06,0.0,0.004,0.005,0.013,0.0003,0.0,0.0,0.0,0.0,0.011,0.0004,0.0,0.0,0.0022,0.0,0.002,0.0001,0.013,0.0,-715.293812228182
4057,96.57,3.027,0.086,0.101,0.108,0.056,0.0,0.004,0.007,0.014,0.0002,0.0,0.0,0.0,0.0,0.011,0.0011,0.0,0.0,0.0022,0.0,0.0,0.0002,0.012,0.001,-715.210180931581
4058,96.67,2.931,0.091,0.1,0.109,0.054,0.0,0.004,0.007,0.012,0.0004,0.0,0.0,0.0,0.0,0.011,0.0008,0.0,0.0,0.0022,0.0,0.0,0.0001,0.012,0.0,-715.127140619711
