Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;88,5;m%;97,35;0,173;0,23;0,5;1,395;0,02;0,001;0,005;0;0,02;0,151;0,002;0;0;0,0008;0;0,019;0,0011;0,003;0;0,0015;0,0019;0,057;0,016;0,0003;0,013;0,001;-675,7468541
G17-0054;432431;S02798;P18-00305BL;0;1;88,6413;m%;97,35;0,171;0,232;0,5;1,394;0,021;0,001;0,006;0;0,022;0,147;0,0021;0;0;0,0008;0;0,019;0,0008;0,003;0;0,0016;0,002;0,047;0,024;0,0003;0,013;0,001;-675,7460847
G17-0054;432431;S02798;P18-00305BL;0;1;88,7828;m%;97,37;0,172;0,234;0,5;1,391;0,02;0,001;0,005;0;0,019;0,143;0,0019;0;0,001;0,0007;0;0,019;0,0001;0,003;0;0,0016;0,002;0,044;0,019;0,0002;0,013;0,003;-675,7452768
G17-0054;432431;S02798;P18-00305BL;0;1;88,9241;m%;97,37;0,172;0,23;0,5;1,389;0,02;0,001;0,005;0;0,02;0,143;0,0019;0;0;0,0008;0;0,018;0,0005;0,003;0;0,0016;0,002;0,048;0,019;0,0002;0,012;0,003;-675,7444218
G17-0054;432431;S02798;P18-00305BL;0;1;89,0655;m%;97,34;0,178;0,235;0,5;1,39;0,021;0,001;0,006;0;0,021;0,148;0,0021;0;0;0,0008;0;0,019;0,0004;0,003;0;0,0017;0,002;0,051;0,019;0,0003;0,013;0,002;-675,7435074
G17-0054;432431;S02798;P18-00305BL;0;1;89,2271;m%;97,34;0,174;0,238;0,5;1,4;0,02;0,001;0,005;0;0,021;0,146;0,0021;0,0001;0;0,0008;0;0,018;0,0001;0,003;0;0,0017;0,002;0,049;0,025;0,0003;0,012;0,002;-675,7423765
G17-0054;432431;S02798;P18-00305BL;0;1;89,3685;m%;97,34;0,169;0,241;0,5;1,397;0,018;0,001;0,005;0;0,021;0,149;0,0023;0;0;0,0008;0;0,019;0,0009;0,004;0;0,0015;0,0019;0,051;0,023;0,0003;0,014;0,004;-675,7412999
G17-0054;432431;S02798;P18-00305BL;0;1;89,5099;m%;97,33;0,173;0,236;0,5;1,398;0,019;0,001;0,005;0;0,021;0,148;0,002;0;0,001;0,0009;0;0,02;0,0002;0,004;0;0,0015;0,002;0,055;0,022;0,0002;0,014;0,004;-675,740131
G17-0054;432431;S02798;P18-00305BL;0;1;89,6514;m%;97,34;0,165;0,236;0,5;1,399;0,021;0,001;0,005;0;0,02;0,145;0,0022;0,0001;0,001;0,0008;0;0,019;0,0006;0,004;0;0,0016;0,0019;0,056;0,024;0,0002;0,012;0,003;-675,7388582
G17-0054;432431;S02798;P18-00305BL;0;1;89,793;m%;97,34;0,171;0,242;0,5;1,397;0,021;0,001;0,006;0;0,02;0,143;0,0026;0;0;0,0008;0;0,019;0,0002;0,004;0;0,0015;0,0019;0,057;0,017;0,0003;0,013;0,001;-675,7374707
G17-0054;432431;S02798;P18-00305BL;0;1;89,9347;m%;97,34;0,174;0,238;0,5;1,397;0,018;0,001;0,007;0;0,021;0,147;0,0024;0,0001;0;0,0009;0;0,019;0,0012;0,002;0;0,0016;0,002;0,051;0,017;0,0002;0,013;0;-675,7359579
G17-0054;432431;S02798;P18-00305BL;0;1;90,0965;m%;97,34;0,17;0,236;0,5;1,403;0,021;0,001;0,005;0;0,02;0,146;0,002;0,0001;0;0,0008;0;0,019;0,0007;0,003;0;0,0016;0,0019;0,051;0,024;0,0002;0,013;0;-675,7340647
G17-0054;432431;S02798;P18-00305BL;0;1;90,2382;m%;97,34;0,165;0,239;0,5;1,4;0,02;0,001;0,005;0;0,019;0,141;0,0019;0,0001;0;0,0009;0;0,019;0;0,003;0;0,0015;0,002;0,058;0,025;0,0002;0,013;0,001;-675,7322499
G17-0054;432431;S02798;P18-00305BL;0;1;90,3801;m%;97,36;0,164;0,241;0,5;1,388;0,021;0,001;0,005;0;0,021;0,143;0,0019;0;0;0,0008;0;0,019;0,0003;0,002;0;0,0015;0,002;0,056;0,023;0,0002;0,013;0,001;-675,7302749
G17-0054;432431;S02798;P18-00305BL;0;1;90,5221;m%;97,34;0,169;0,238;0,5;1,393;0,02;0,001;0,005;0;0,021;0,15;0,002;0;0;0,0009;0;0,018;0,0003;0,004;0;0,0015;0,002;0,055;0,02;0,0003;0,013;0,002;-675,72813
G17-0054;432431;S02798;P18-00305BL;0;1;90,6641;m%;97,35;0,165;0,232;0,5;1,394;0,021;0,001;0,005;0;0,021;0,144;0,002;0;0;0,0009;0;0,018;0,0006;0,002;0;0,0015;0,0019;0,054;0,028;0,0003;0,013;0,003;-675,7258064
G17-0054;432431;S02798;P18-00305BL;0;1;90,8061;m%;97,34;0,171;0,234;0,5;1,401;0,022;0,001;0,005;0;0,021;0,145;0,0023;0;0;0,0009;0;0,018;0;0,001;0;0,0015;0,0019;0,049;0,028;0,0003;0,011;0,001;-675,7232937
G17-0054;432431;S02798;P18-00305BL;0;1;90,9482;m%;97,35;0,168;0,24;0,5;1,393;0,02;0,001;0,006;0;0,019;0,144;0,0026;0;0;0,0009;0;0,018;0,0001;0,002;0;0,0015;0,0019;0,058;0,017;0,0004;0,013;0,001;-675,7205796
G17-0054;432431;S02798;P18-00305BL;0;1;91,1105;m%;97,33;0,167;0,241;0,5;1,397;0,019;0,001;0,006;0;0,02;0,146;0,0023;0,0001;0,001;0,0008;0;0,019;0,0003;0,003;0;0,0016;0,0019;0,057;0,021;0,0003;0,013;0,002;-675,7172224
G17-0054;432431;S02798;P18-00305BL;0;1;91,2526;m%;97,35;0,168;0,241;0,5;1,394;0,019;0,001;0,005;0;0,02;0,143;0,0023;0;0,001;0,0009;0;0,019;0,0007;0,004;0;0,0016;0,0019;0,054;0,017;0,0002;0,012;0;-675,7140463
G17-0054;432431;S02798;P18-00305BL;0;1;91,3948;m%;97,35;0,164;0,239;0,5;1,398;0,019;0,001;0,005;0;0,021;0,143;0,002;0;0,002;0,0008;0;0,018;0,0004;0,003;0;0,0016;0,002;0,051;0,012;0,0003;0,014;0,003;-675,7106362
G17-0054;432431;S02798;P18-00305BL;0;1;91,537;m%;97,34;0,163;0,235;0,5;1,401;0,018;0,001;0,005;0;0,019;0,146;0,0025;0;0;0,0007;0;0,019;0,0006;0,003;0;0,0016;0,0019;0,056;0,019;0,0003;0,013;0,002;-675,7069842
G17-0054;432431;S02798;P18-00305BL;0;1;91,6794;m%;97,34;0,163;0,233;0,6;1,397;0,019;0,001;0,006;0;0,019;0,148;0,0024;0,0001;0,001;0,0008;0;0,019;0,0012;0,003;0;0,0017;0,0019;0,056;0,026;0,0003;0,014;0;-675,7030746
G17-0054;432431;S02798;P18-00305BL;0;1;91,8219;m%;97,33;0,17;0,231;0,6;1,394;0,019;0,001;0,006;0;0,02;0,145;0,0022;0,0001;0;0,001;0,001;0,019;0,001;0,004;0;0,0016;0,0019;0,058;0,027;0,0003;0,013;0,002;-675,6988996
G17-0054;432431;S02798;P18-00305BL;0;1;91,9645;m%;97,34;0,171;0,235;0,5;1,389;0,019;0,001;0,005;0;0,02;0,144;0,0026;0;0;0,0009;0;0,018;0,0019;0,004;0;0,0015;0,0019;0,062;0,026;0,0002;0,011;0,003;-675,6944485
G17-0054;432431;S02798;P18-00305BL;0;1;92,1274;m%;97,36;0,167;0,231;0,6;1,387;0,018;0,001;0,005;0;0,02;0,146;0,0024;0;0,001;0,0008;0;0,019;0,0007;0,003;0;0,0015;0,0019;0,048;0,023;0,0003;0,013;0,002;-675,6890171
G17-0054;432431;S02798;P18-00305BL;0;1;92,2698;m%;97,35;0,171;0,231;0,6;1,389;0,017;0,001;0,005;0;0,02;0,148;0,0021;0;0;0,0008;0;0,02;0,0005;0,004;0;0,0016;0,0019;0,058;0,016;0,0002;0,012;0,001;-675,6839552
G17-0054;432431;S02798;P18-00305BL;0;1;92,4124;m%;97,36;0,17;0,227;0,5;1,383;0,019;0,001;0,005;0;0,021;0,144;0,0026;0;0,002;0,0009;0;0,019;0,0005;0,005;0;0,0016;0,0019;0,049;0,026;0,0001;0,012;0;-675,6785828
G17-0054;432431;S02798;P18-00305BL;0;1;92,555;m%;97,36;0,162;0,229;0,6;1,382;0,02;0,001;0,005;0;0,019;0,144;0,0022;0;0;0,0008;0;0,019;0,0003;0,004;0;0,0017;0,0019;0,049;0,032;0,0002;0,012;0;-675,6728971
G17-0054;432431;S02798;P18-00305BL;0;1;92,6976;m%;97,37;0,167;0,228;0,5;1,382;0,021;0,001;0,006;0;0,018;0,144;0,0022;0,0001;0;0,0009;0;0,019;0;0,003;0;0,0017;0,0019;0,046;0,021;0,0003;0,013;0;-675,6668887
G17-0054;432431;S02798;P18-00305BL;0;1;92,8401;m%;97,36;0,166;0,228;0,5;1,391;0,02;0,001;0,005;0;0,021;0,145;0,0021;0,0001;0;0,001;0;0,019;0,0001;0,002;0;0,0017;0,0019;0,054;0,017;0,0003;0,013;0;-675,6605528
G17-0054;432431;S02798;P18-00305BL;0;1;92,9828;m%;97,35;0,166;0,234;0,5;1,388;0,02;0,001;0,005;0;0,019;0,146;0,002;0;0;0,0008;0;0,019;0,0003;0,004;0;0,0016;0,0019;0,055;0,025;0,0001;0,012;0,002;-675,6538663
G17-0054;432431;S02798;P18-00305BL;0;1;93,1255;m%;97,35;0,164;0,233;0,6;1,397;0,018;0,001;0,006;0;0,019;0,146;0,0022;0,0001;0;0,0008;0;0,019;0,0012;0,004;0;0,0017;0,0019;0,052;0,022;0,0004;0,012;0;-675,6468287
G17-0054;432431;S02798;P18-00305BL;0;1;93,2887;m%;97,35;0,166;0,231;0,5;1,389;0,019;0,001;0,005;0;0,022;0,147;0,0024;0,0001;0,001;0,0009;0;0,019;0,0005;0,003;0;0,0017;0,0019;0,052;0,027;0,0003;0,012;0,001;-675,638338
G17-0054;432431;S02798;P18-00305BL;0;1;93,4315;m%;97,35;0,159;0,227;0,6;1,393;0,018;0,001;0,005;0;0,019;0,146;0,0023;0;0;0,0008;0;0,018;0,0005;0,003;0;0,0017;0,0019;0,059;0,026;0,0002;0,014;0,002;-675,6305116
G17-0054;432431;S02798;P18-00305BL;0;1;93,5744;m%;97,35;0,158;0,232;0,6;1,397;0,019;0,001;0,006;0;0,02;0,146;0,0023;0;0;0,0009;0;0,019;0,0001;0,002;0;0,0016;0,0019;0,052;0,025;0,0002;0,014;0,001;-675,6222993
G17-0054;432431;S02798;P18-00305BL;0;1;93,7173;m%;97,37;0,158;0,227;0,6;1,386;0,018;0,001;0,006;0;0,021;0,144;0,0027;0,0001;0,001;0,0009;0;0,019;0,0016;0,003;0;0,0017;0,0019;0,056;0,015;0,0002;0,013;0,004;-675,6136978
G17-0054;432431;S02798;P18-00305BL;0;1;93,8604;m%;97,35;0,165;0,231;0,6;1,383;0,02;0,001;0,006;0;0,023;0,147;0,0027;0;0;0,0009;0;0,02;0,0011;0,003;0;0,0016;0,0019;0,056;0,018;0,0003;0,012;0,003;-675,6046853
G17-0054;432431;S02798;P18-00305BL;0;1;94,0035;m%;97,36;0,16;0,231;0,6;1,379;0,021;0,001;0,005;0;0,023;0,145;0,0027;0;0;0,0008;0,001;0,02;0,0005;0,004;0;0,0016;0,0019;0,056;0,017;0,0002;0,014;0,001;-675,5952651
G17-0054;432431;S02798;P18-00305BL;0;1;94,1466;m%;97,38;0,164;0,224;0,6;1,377;0,021;0,001;0,005;0;0,02;0,145;0,0025;0;0;0,0009;0;0,02;0,0009;0,003;0;0,0016;0,0019;0,045;0,01;0,0002;0,014;0,004;-675,5854286
G17-0054;432431;S02798;P18-00305BL;0;1;94,2897;m%;97,38;0,159;0,227;0,6;1,373;0,019;0,001;0,005;0;0,019;0,151;0,0022;0;0;0,0008;0;0,021;0,0011;0,003;0;0,0017;0,0019;0,048;0,015;0,0002;0,014;0,003;-675,5751674
G17-0054;432431;S02798;P18-00305BL;0;1;94,4327;m%;97,38;0,161;0,224;0,6;1,364;0,019;0,001;0,005;0;0,02;0,147;0,0024;0;0;0,0009;0;0,021;0,0013;0,004;0;0,0017;0,0019;0,06;0,023;0,0003;0,013;0;-675,5644808
G17-0054;432431;S02798;P18-00305BL;0;1;94,5759;m%;97,39;0,16;0,217;0,6;1,366;0,019;0,001;0,005;0;0,021;0,142;0,0023;0,0001;0;0,0009;0;0,019;0,0007;0,004;0;0,0016;0,0019;0,059;0,023;0,0003;0,013;0,001;-675,5533378
G17-0054;432431;S02798;P18-00305BL;0;1;94,7396;m%;97,39;0,159;0,216;0,6;1,365;0,02;0,001;0,005;0;0,021;0,149;0,0023;0,0001;0;0,0009;0;0,019;0,0003;0,003;0;0,0017;0,0019;0,053;0,027;0,0003;0,013;0;-675,540048
G17-0054;432431;S02798;P18-00305BL;0;1;94,8827;m%;97,41;0,152;0,214;0,6;1,36;0,019;0,001;0,006;0;0,019;0,144;0,0022;0;0;0,0009;0;0,019;0,0002;0,003;0;0,0016;0,0019;0,055;0,02;0,0003;0,012;0;-675,5279398
G17-0054;432431;S02798;P18-00305BL;0;1;95,026;m%;97,41;0,156;0,214;0,6;1,356;0,019;0,001;0,006;0;0,021;0,146;0,0024;0;0;0,0009;0;0,02;0;0,003;0;0,0016;0,0019;0,057;0,018;0,0003;0,011;0,005;-675,5153477
G17-0054;432431;S02798;P18-00305BL;0;1;95,1694;m%;97,38;0,16;0,218;0,6;1,363;0,019;0,001;0,005;0;0,02;0,151;0,0024;0;0;0,0009;0;0,02;0,0015;0,003;0;0,0018;0,0019;0,054;0,026;0,0004;0,011;0,001;-675,5022714
G17-0054;432431;S02798;P18-00305BL;0;1;95,3128;m%;97,39;0,16;0,22;0,6;1,357;0,019;0,001;0,004;0;0,018;0,144;0,0025;0;0;0,0009;0;0,019;0,0014;0,004;0;0,0017;0,0019;0,055;0,02;0,0003;0,012;0,005;-675,4887118
G17-0054;432431;S02798;P18-00305BL;0;1;95,4563;m%;97,39;0,156;0,215;0,6;1,362;0,019;0,001;0,005;0;0,021;0,145;0,0026;0,0001;0;0,0009;0;0,02;0,0004;0,003;0;0,0016;0,0019;0,06;0,03;0,0002;0,011;0,002;-675,4746517
G17-0054;432431;S02798;P18-00305BL;0;1;95,5998;m%;97,39;0,161;0,219;0,6;1,356;0,022;0,001;0,005;0;0,02;0,145;0,002;0,0001;0;0,0009;0;0,019;0;0,004;0;0,0016;0,0019;0,059;0,027;0,0002;0,012;0,001;-675,4600931
G17-0054;432431;S02798;P18-00305BL;0;1;95,7435;m%;97,4;0,157;0,218;0,6;1,357;0,02;0,001;0,005;0;0,02;0,15;0,0024;0;0;0,0009;0;0,019;0;0,004;0;0,0016;0,0019;0,061;0,015;0,0003;0,013;0;-675,4450074
G17-0054;432431;S02798;P18-00305BL;0;1;95,8872;m%;97,39;0,155;0,222;0,6;1,359;0,02;0,001;0,005;0;0,022;0,149;0,0025;0;0;0,0009;0;0,02;0,0003;0,003;0;0,0016;0,0019;0,062;0,017;0,0002;0,012;0;-675,4294077
G17-0054;432431;S02798;P18-00305BL;0;1;96,0308;m%;97,4;0,155;0,222;0,6;1,36;0,018;0,001;0,005;0;0,022;0,15;0,0023;0;0;0,001;0;0,02;0,0006;0,003;0;0,0016;0,0019;0,046;0,02;0,0002;0,013;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,1745;m%;97,39;0,156;0,217;0,6;1,354;0,02;0,001;0,006;0;0,019;0,151;0,0025;0,0001;0;0,0009;0;0,019;0,0001;0,003;0;0,0017;0,0019;0,046;0,031;0,0002;0,013;0,002;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,3183;m%;97,4;0,153;0,218;0,6;1,357;0,02;0,001;0,005;0;0,022;0,146;0,0024;0;0;0,0009;0;0,019;0;0,003;0;0,0017;0,0019;0,061;0,021;0,0003;0,013;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,4621;m%;97,4;0,155;0,208;0,6;1,355;0,018;0,001;0,006;0;0,022;0,148;0,0022;0;0,002;0,0009;0;0,018;0;0,004;0;0,0017;0,0019;0,065;0,018;0,0003;0,014;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,6061;m%;97,41;0,155;0,211;0,6;1,353;0,019;0,001;0,005;0;0,021;0,145;0,0021;0,0001;0;0,0009;0;0,02;0,0009;0,003;0;0,0017;0,0019;0,055;0,021;0,0002;0,013;0,005;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,7705;m%;97,4;0,156;0,214;0,6;1,358;0,019;0,001;0,005;0;0,019;0,145;0,0023;0,0001;0,001;0,0009;0;0,019;0,0003;0,004;0;0,0017;0,0019;0,056;0,018;0,0002;0,011;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;96,9146;m%;97,4;0,157;0,214;0,6;1,359;0,02;0,001;0,005;0;0,02;0,149;0,0022;0;0;0,0009;0;0,019;0,0006;0,003;0;0,0017;0,0019;0,055;0,017;0,0003;0,012;0,002;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,0586;m%;97,39;0,154;0,215;0,6;1,361;0,019;0,001;0,005;0;0,022;0,149;0,0025;0,0001;0,001;0,0009;0,001;0,02;0,0003;0,003;0;0,0016;0,0019;0,06;0,021;0,0003;0,011;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,2028;m%;97,38;0,156;0,217;0,6;1,363;0,021;0,001;0,005;0;0,021;0,153;0,002;0,0002;0;0,0009;0,001;0,02;0,0001;0,003;0;0,0017;0,0019;0,059;0,019;0,0003;0,013;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,3469;m%;97,41;0,153;0,216;0,6;1,356;0,021;0,001;0,005;0;0,022;0,149;0,002;0,0001;0;0,001;0;0,019;0;0,003;0;0,0016;0,0019;0,052;0,017;0,0003;0,012;0,002;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,491;m%;97,4;0,152;0,212;0,6;1,36;0,021;0,001;0,006;0;0,023;0,148;0,0018;0,0001;0;0,0009;0,001;0,018;0,0004;0,003;0;0,0017;0,0019;0,052;0,024;0,0002;0,012;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,635;m%;97,39;0,155;0,215;0,6;1,359;0,021;0,001;0,005;0;0,019;0,148;0,002;0,0001;0;0,0008;0;0,018;0,0003;0,004;0;0,0018;0,0019;0,055;0,024;0,0003;0,014;0,005;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,7792;m%;97,4;0,154;0,215;0,6;1,352;0,021;0,001;0,005;0;0,02;0,147;0,0022;0,0001;0;0,0009;0;0,019;0,0011;0,004;0;0,0017;0,0019;0,055;0,021;0,0003;0,013;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;97,9235;m%;97,4;0,152;0,215;0,6;1,354;0,02;0,001;0,006;0;0,02;0,15;0,002;0;0;0,0009;0;0,02;0;0,002;0;0,0017;0,0019;0,058;0,028;0,0002;0,011;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,0678;m%;97,39;0,157;0,214;0,6;1,355;0,019;0,001;0,005;0;0,02;0,147;0,0022;0,0002;0;0,0009;0;0,019;0,0005;0,004;0;0,0017;0,0019;0,056;0,028;0,0004;0,012;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,2122;m%;97,41;0,15;0,214;0,6;1,353;0,02;0,001;0,006;0;0,02;0,149;0,0021;0;0,001;0,0008;0;0,019;0,0005;0,004;0;0,0017;0,0019;0,049;0,021;0,0002;0,012;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,3567;m%;97,4;0,15;0,216;0,6;1,354;0,019;0,001;0,005;0;0,024;0,148;0,002;0;0;0,0009;0;0,019;0,0002;0,003;0;0,0016;0,0019;0,051;0,024;0,0002;0,013;0,005;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,5012;m%;97,39;0,153;0,218;0,6;1,359;0,021;0,001;0,005;0;0,021;0,144;0,0025;0,0001;0;0,0009;0;0,02;0,0005;0,003;0;0,0018;0,0019;0,054;0,021;0,0002;0,014;0,002;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,6456;m%;97,39;0,145;0,222;0,6;1,353;0,021;0,001;0,006;0;0,02;0,148;0,0021;0,0001;0;0,0009;0;0,019;0,001;0,003;0;0,0017;0,0019;0,061;0,023;0,0002;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,79;m%;97,4;0,15;0,22;0,6;1,351;0,018;0,001;0,005;0;0,02;0,15;0,0023;0;0;0,0009;0;0,021;0,0005;0,003;0;0,0018;0,0019;0,051;0,019;0,0002;0,013;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;98,9346;m%;97,4;0,157;0,216;0,6;1,353;0,018;0,001;0,006;0;0,02;0,147;0,002;0,0001;0;0,001;0;0,02;0;0,004;0;0,0018;0,0019;0,056;0,021;0,0002;0,014;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,0795;m%;97,39;0,165;0,214;0,6;1,351;0,02;0,001;0,006;0;0,019;0,151;0,0021;0;0,001;0,0009;0;0,019;0,0008;0,004;0;0,0016;0,0019;0,057;0,014;0,0002;0,014;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,2241;m%;97,41;0,158;0,212;0,6;1,354;0,018;0,001;0,006;0;0,021;0,147;0,0023;0;0,002;0,0009;0;0,019;0,0005;0,003;0;0,0017;0,0019;0,06;0,005;0,0003;0,014;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,3688;m%;97,41;0,151;0,213;0,6;1,348;0,021;0,001;0,006;0;0,021;0,152;0,0019;0,0001;0;0,0009;0;0,018;0,0011;0,003;0;0,0017;0,0019;0,061;0,018;0,0003;0,01;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,5136;m%;97,4;0,152;0,214;0,6;1,35;0,021;0,001;0,006;0;0,02;0,156;0,0022;0;0;0,001;0;0,018;0,0008;0,004;0;0,0017;0,0019;0,054;0,021;0,0003;0,014;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,6583;m%;97,38;0,15;0,222;0,6;1,352;0,021;0,001;0,005;0;0,019;0,152;0,0021;0;0;0,001;0;0,02;0;0,002;0;0,0016;0,0019;0,06;0,029;0,0003;0,013;0,002;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,803;m%;97,39;0,152;0,216;0,6;1,353;0,018;0,001;0,005;0;0,023;0,15;0,0023;0;0;0,001;0;0,018;0,0001;0,002;0;0,0017;0,0019;0,06;0,028;0,0003;0,012;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;99,948;m%;97,39;0,154;0,216;0,6;1,35;0,02;0,001;0,006;0;0,022;0,151;0,0025;0,0001;0;0,0009;0;0,02;0,0009;0,003;0;0,0017;0,0019;0,063;0,022;0,0003;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,093;m%;97,41;0,152;0,217;0,6;1,346;0,021;0,001;0,006;0;0,022;0,149;0,0023;0,0001;0;0,001;0;0,018;0,001;0,004;0;0,0018;0,0019;0,05;0,019;0,0004;0,014;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,2378;m%;97,4;0,155;0,218;0,6;1,349;0,021;0,001;0,005;0;0,022;0,145;0,0024;0,0001;0;0,001;0;0,019;0,0002;0,004;0;0,0017;0,0019;0,058;0,014;0,0004;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,3828;m%;97,4;0,151;0,211;0,6;1,347;0,02;0,001;0,005;0;0,021;0,153;0,0019;0;0,001;0,0009;0;0,02;0,0006;0,004;0;0,0018;0,0019;0,057;0,022;0,0003;0,014;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,5279;m%;97,4;0,148;0,213;0,6;1,353;0,019;0,001;0,005;0;0,019;0,152;0,0024;0,0001;0;0,001;0;0,019;0,0012;0,004;0;0,0018;0,0019;0,052;0,026;0,0002;0,013;0,004;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,6732;m%;97,4;0,15;0,214;0,6;1,352;0,019;0,001;0,005;0;0,02;0,149;0,0021;0;0;0,001;0;0,019;0,0016;0,005;0;0,0018;0,0019;0,06;0,018;0,0002;0,013;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,8185;m%;97,41;0,15;0,213;0,6;1,35;0,02;0,001;0,005;0;0,018;0,15;0,002;0;0,002;0,001;0;0,019;0,0005;0,004;0;0,0018;0,0019;0,054;0,013;0,0003;0,012;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;100,9638;m%;97,4;0,149;0,218;0,6;1,348;0,02;0,001;0,005;0;0,022;0,15;0,0022;0;0;0,0011;0;0,02;0,0003;0,003;0;0,0017;0,0019;0,054;0,02;0,0003;0,013;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,109;m%;97,39;0,155;0,213;0,6;1,342;0,019;0,001;0,005;0;0,018;0,153;0,0026;0,0001;0;0,001;0;0,021;0,0001;0,004;0;0,0017;0,0019;0,067;0,02;0,0002;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,2542;m%;97,39;0,152;0,209;0,6;1,346;0,02;0,001;0,005;0;0,021;0,153;0,0027;0,0001;0;0,0009;0;0,02;0,0007;0,003;0;0,0017;0,0019;0,066;0,02;0,0003;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,3994;m%;97,39;0,149;0,213;0,6;1,349;0,019;0,001;0,005;0;0,021;0,156;0,0024;0;0;0,0009;0;0,019;0,0009;0,003;0;0,0018;0,0018;0,054;0,024;0,0004;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,5446;m%;97,39;0,15;0,214;0,6;1,339;0,02;0,001;0,006;0;0,021;0,154;0,0026;0;0;0,001;0;0,02;0,0001;0,005;0;0,0017;0,0019;0,064;0,017;0,0003;0,016;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,69;m%;97,4;0,152;0,214;0,6;1,341;0,021;0,001;0,005;0;0,021;0,151;0,0024;0,0001;0,001;0,0009;0;0,02;0,0001;0,004;0;0,0018;0,0019;0,058;0,026;0,0002;0,013;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,8354;m%;97,41;0,149;0,208;0,6;1,344;0,019;0,001;0,005;0;0,02;0,151;0,0024;0,0001;0,001;0,0009;0;0,021;0,0006;0,004;0;0,0019;0,0019;0,051;0,027;0,0003;0,012;0;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;101,981;m%;97,4;0,152;0,212;0,6;1,344;0,02;0,001;0,005;0;0,019;0,153;0,0023;0,0001;0;0,0009;0;0,02;0,0002;0,003;0;0,0018;0,0019;0,06;0,02;0,0003;0,014;0,001;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;102,1266;m%;97,39;0,151;0,209;0,6;1,34;0,019;0,001;0,006;0;0,022;0,154;0,0025;0;0;0,0008;0;0,019;0,0009;0,004;0;0,0019;0,0019;0,063;0,03;0,0003;0,013;0,003;NAN
G17-0054;432431;S02798;P18-00305BL;0;1;102,2722;m%;97,39;0,153;0,207;0,6;1,349;0,019;0,001;0,005;0;0,023;0,156;0,0024;0;0;0,0009;0;0,019;0,0001;0,005;0;0,0018;0,0019;0,061;0,024;0,0002;0,013;0,002;NAN
