Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;3,1906;m%;87,94;11,462;0,22;0,1;0,195;0,009;0,002;0,005;0;0,007;0;0,0004;0;0,006;0;0;0,012;0,0007;0;0;0;0,0019;0,001;0,005;0;0,008;0;-714,2305526
G17-0054;432431;S02798;P18-00305BL;0;1;3,3385;m%;88,11;11,317;0,21;0,1;0,19;0,008;0,002;0,004;0;0,003;0,001;0,0003;0;0,004;0;0;0,014;0,0011;0;0;0;0,0019;0,001;0,003;0;0,007;0;-714,0421715
G17-0054;432431;S02798;P18-00305BL;0;1;3,48;m%;88,24;11,207;0,198;0,1;0,183;0,009;0,002;0,005;0;0,002;0;0,0002;0;0,006;0;0;0,013;0,0009;0;0;0;0,0019;0,002;0,002;0;0,007;0;-713,8689931
G17-0054;432431;S02798;P18-00305BL;0;1;3,6278;m%;88,33;11,124;0,187;0,1;0,179;0,009;0,002;0,005;0;0,007;0,002;0,0002;0;0,004;0;0;0,013;0,0001;0;0;0;0,002;0;0,007;0;0,007;0,003;-713,6953368
G17-0054;432431;S02798;P18-00305BL;0;1;3,7691;m%;88,47;11,001;0,182;0,1;0,177;0,01;0,002;0,004;0;0,005;0;0,0005;0,0001;0,005;0;0;0,013;0,0011;0;0;0;0,0019;0;0,003;0;0,006;0,001;-713,5361057
G17-0054;432431;S02798;P18-00305BL;0;1;3,9167;m%;88,62;10,872;0,174;0,1;0,171;0,006;0,002;0,005;0;0,005;0,001;0,0002;0;0,004;0;0;0,013;0,0023;0;0;0;0,002;0;0,001;0;0,007;0;-713,3767339
G17-0054;432431;S02798;P18-00305BL;0;1;4,0643;m%;88,85;10,644;0,164;0,1;0,167;0,009;0,002;0,004;0;0,005;0;0,0003;0;0,005;0;0;0,013;0,0005;0;0;0;0,002;0,001;0,001;0;0,012;0,001;-713,224344
G17-0054;432431;S02798;P18-00305BL;0;1;4,2053;m%;89,1;10,407;0,159;0,1;0,165;0,008;0,002;0,004;0;0,006;0,001;0,0004;0;0,002;0;0;0,014;0,0008;0;0;0;0,002;0;0,006;0;0,007;0,001;-713,0851697
G17-0054;432431;S02798;P18-00305BL;0;1;4,3524;m%;89,41;10,11;0,149;0,1;0,166;0,008;0,002;0,004;0;0,003;0,001;0,0007;0;0,004;0;0;0,013;0,0003;0;0;0;0,002;0;0,001;0;0,008;0;-712,9465188
G17-0054;432431;S02798;P18-00305BL;0;1;4,4994;m%;89,65;9,877;0,148;0,1;0,159;0,008;0,002;0,005;0;0,003;0;0,0003;0;0,002;0;0;0,014;0,0006;0;0;0;0,0019;0;0,001;0;0,007;0,002;-712,8145147
G17-0054;432431;S02798;P18-00305BL;0;1;4,64;m%;89,88;9,645;0,144;0,1;0,157;0,009;0,002;0,004;0;0,005;0;0,0007;0;0,004;0;0;0,014;0,0004;0;0;0;0,002;0;0,005;0;0,008;0;-712,6942719
G17-0054;432431;S02798;P18-00305BL;0;1;4,787;m%;90,24;9,318;0,132;0,1;0,151;0,009;0,002;0,004;0;0,003;0,001;0,0001;0;0,002;0;0;0,015;0,0002;0;0;0;0,002;0;0,001;0;0,008;0,002;-712,5747252
G17-0054;432431;S02798;P18-00305BL;0;1;4,9336;m%;90,61;8,931;0,129;0,1;0,147;0,011;0,002;0,005;0;0,007;0,002;0,0001;0;0,001;0;0;0,015;0,0015;0;0;0;0,0019;0;0,008;0;0,009;0,001;-712,4616655
G17-0054;432431;S02798;P18-00305BL;0;1;5,0801;m%;90,99;8,576;0,122;0,1;0,146;0,01;0,002;0,004;0;0,004;0,001;0,0002;0;0;0;0;0,014;0,0004;0;0;0;0,002;0;0,003;0;0,01;0,001;-712,3547106
G17-0054;432431;S02798;P18-00305BL;0;1;5,2198;m%;91,29;8,275;0,121;0,1;0,145;0,01;0,002;0,004;0;0,007;0,002;0,0003;0;0,001;0;0;0,015;0;0;0;0;0,002;0;0,001;0;0,007;0;-712,2582243
G17-0054;432431;S02798;P18-00305BL;0;1;5,3656;m%;91,64;7,933;0,118;0,1;0,145;0,008;0,002;0,004;0;0,005;0;0,0003;0;0;0;0;0,014;0,0002;0;0;0;0,0019;0;0;0;0,009;0,001;-712,1631438
G17-0054;432431;S02798;P18-00305BL;0;1;5,5114;m%;92,02;7,544;0,118;0,1;0,146;0,008;0,002;0,005;0;0,006;0,002;0,0005;0;0,001;0;0,001;0,014;0;0;0;0;0,002;0,002;0,001;0;0,007;0,003;-712,0736899
G17-0054;432431;S02798;P18-00305BL;0;1;5,6569;m%;92,39;7,191;0,112;0,1;0,142;0,011;0,001;0,005;0;0,005;0,004;0,0002;0;0,001;0;0;0,015;0,0001;0;0;0;0,0019;0,001;0;0;0,008;0;-711,9899164
G17-0054;432431;S02798;P18-00305BL;0;1;5,8023;m%;92,75;6,841;0,106;0,1;0,141;0,008;0,002;0,005;0;0,008;0,001;0,0002;0,0001;0;0;0;0,016;0,0002;0;0;0;0,002;0,002;0,001;0;0,008;0;-711,9115746
G17-0054;432431;S02798;P18-00305BL;0;1;5,9475;m%;93,06;6,54;0,102;0,1;0,137;0,01;0,001;0,004;0;0,006;0,002;0,0002;0;0;0;0;0,016;0,0008;0;0;0;0,0019;0;0;0;0,007;0,002;-711,8385921
G17-0054;432431;S02798;P18-00305BL;0;1;6,0925;m%;93,37;6,216;0,103;0,1;0,14;0,01;0,002;0,004;0;0,007;0;0,0002;0;0,001;0;0;0,016;0,0001;0;0;0;0,0019;0,001;0,009;0;0,01;0;-711,770839
G17-0054;432431;S02798;P18-00305BL;0;1;6,2375;m%;93,72;5,879;0,1;0,1;0,139;0,01;0,001;0,005;0;0,005;0,002;0,0002;0;0,001;0;0;0,015;0;0;0;0;0,0019;0,001;0;0;0,01;0;-711,7081046
G17-0054;432431;S02798;P18-00305BL;0;1;6,3823;m%;94,03;5,57;0,095;0,1;0,137;0,012;0,002;0,005;0;0,007;0;0,0001;0;0,003;0;0;0,015;0;0;0;0;0,0019;0,003;0,001;0;0,006;0;-711,6503595
G17-0054;432431;S02798;P18-00305BL;0;1;6,5268;m%;94,31;5,297;0,097;0,1;0,136;0,009;0,002;0,004;0;0,004;0,002;0,0002;0;0,002;0;0;0,015;0;0;0;0;0,002;0,001;0,002;0;0,006;0,001;-711,5975145
G17-0054;432431;S02798;P18-00305BL;0;1;6,6714;m%;94,59;5,018;0,095;0,1;0,132;0,008;0,001;0,004;0;0,006;0,003;0,0003;0;0,001;0;0;0,014;0,0003;0;0;0;0,002;0,002;0,001;0;0,009;0;-711,5493107
G17-0054;432431;S02798;P18-00305BL;0;1;6,816;m%;94,81;4,807;0,091;0,1;0,134;0,009;0,002;0,003;0;0,006;0,004;0,0003;0;0;0;0;0,015;0,0003;0;0;0;0,002;0;0,001;0;0,01;0,001;-711,5056846
G17-0054;432431;S02798;P18-00305BL;0;1;6,9603;m%;95,03;4,586;0,094;0,1;0,127;0,012;0,002;0,004;0;0,005;0,003;0,0002;0;0,001;0;0;0,014;0;0;0;0;0,002;0;0;0;0,012;0,001;-711,4666124
G17-0054;432431;S02798;P18-00305BL;0;1;7,1108;m%;95,24;4,383;0,091;0,1;0,128;0,009;0,002;0,005;0;0,008;0,006;0,0004;0;0;0;0;0,015;0,0004;0;0;0;0,002;0;0,001;0;0,008;0,001;-711,4305047
G17-0054;432431;S02798;P18-00305BL;0;1;7,2549;m%;95,46;4,154;0,09;0,1;0,129;0,011;0,002;0,004;0;0,006;0,004;0,0008;0;0,002;0;0;0,016;0;0;0;0;0,002;0,001;0,003;0;0,011;0,001;-711,400274
G17-0054;432431;S02798;P18-00305BL;0;1;7,3987;m%;95,63;3,998;0,086;0,1;0,125;0,009;0,002;0,004;0;0,007;0,005;0,0004;0;0,001;0;0;0,017;0,0004;0;0;0,0001;0,002;0;0,001;0;0,011;0;-711,3742429
G17-0054;432431;S02798;P18-00305BL;0;1;7,5424;m%;95,8;3,835;0,085;0,1;0,127;0,01;0,002;0,004;0;0,005;0,003;0,0003;0;0;0;0;0,016;0,0002;0;0;0;0,002;0,001;0;0;0,009;0;-711,3522631
G17-0054;432431;S02798;P18-00305BL;0;1;7,6857;m%;95,95;3,68;0,083;0,1;0,127;0,009;0,002;0,004;0;0,006;0,005;0,0004;0;0,001;0;0;0,018;0,0003;0;0;0;0,002;0,001;0;0;0,009;0;-711,3342662
G17-0054;432431;S02798;P18-00305BL;0;1;7,8352;m%;96,11;3,525;0,082;0,1;0,129;0,01;0,002;0,004;0;0,004;0,004;0,0002;0;0;0;0;0,015;0,0001;0;0;0;0,002;0;0;0;0,01;0;-711,3195655
G17-0054;432431;S02798;P18-00305BL;0;1;7,9845;m%;96,2;3,424;0,08;0,1;0,129;0,011;0,002;0,004;0;0,01;0,005;0,0006;0;0;0;0;0,016;0,0003;0;0;0;0,002;0;0,002;0;0,011;0;-711,3089356
G17-0054;432431;S02798;P18-00305BL;0;1;8,1151;m%;96,32;3,304;0,083;0,1;0,127;0,011;0,002;0,004;0;0,007;0,008;0,0006;0;0;0;0;0,017;0,0003;0;0;0;0,0019;0,001;0,002;0;0,01;0;-711,3028769
G17-0054;432431;S02798;P18-00305BL;0;1;8,2639;m%;96,42;3,214;0,081;0,1;0,124;0,011;0,002;0,004;0;0,008;0,006;0,0002;0;0;0;0;0,015;0;0;0;0;0,002;0,001;0;0;0,012;0;-711,2995687
G17-0054;432431;S02798;P18-00305BL;0;1;8,4129;m%;96,51;3,126;0,077;0,1;0,125;0,011;0,001;0,005;0;0,007;0,005;0,0004;0;0;0;0;0,016;0;0;0;0;0,002;0;0;0;0,01;0;-711,2999981
G17-0054;432431;S02798;P18-00305BL;0;1;8,5617;m%;96,63;3,016;0,075;0,1;0,128;0,01;0,002;0,005;0;0,005;0,003;0,0007;0;0;0;0;0,017;0,0003;0;0;0;0,002;0;0;0;0,009;0;-711,3040665
G17-0054;432431;S02798;P18-00305BL;0;1;8,7104;m%;96,69;2,944;0,079;0,1;0,129;0,01;0,002;0,004;0;0,006;0,004;0,0004;0;0;0;0;0,017;0;0;0;0;0,002;0;0;0;0,012;0;-711,3116693
G17-0054;432431;S02798;P18-00305BL;0;1;8,8406;m%;96,76;2,873;0,08;0,1;0,13;0,01;0,002;0,004;0;0,006;0,005;0,0002;0;0;0;0;0,016;0,0004;0;0;0;0,002;0;0;0;0,012;0;-711,3211549
G17-0054;432431;S02798;P18-00305BL;0;1;8,9891;m%;96,86;2,783;0,076;0,1;0,129;0,01;0,001;0,003;0;0,009;0,006;0,0002;0;0;0;0;0,016;0,0005;0;0;0,0001;0,002;0;0;0;0,011;0;-711,3351133
G17-0054;432431;S02798;P18-00305BL;0;1;9,1376;m%;96,92;2,716;0,073;0,1;0,134;0,012;0,001;0,003;0;0,008;0,005;0,0003;0;0;0;0;0,014;0;0;0;0;0,002;0;0;0;0,012;0;-711,3523287
G17-0054;432431;S02798;P18-00305BL;0;1;9,2862;m%;97,01;2,627;0,076;0,1;0,136;0,011;0,002;0,004;0;0,007;0,004;0,0003;0;0;0;0;0,015;0;0;0;0;0,002;0,001;0;0;0,012;0;-711,3727244
G17-0054;432431;S02798;P18-00305BL;0;1;9,4348;m%;97,04;2,587;0,078;0,1;0,138;0,012;0,002;0,004;0;0,01;0,005;0;0;0;0;0;0,017;0;0;0;0,0001;0,002;0;0;0;0,012;0;-711,396199
G17-0054;432431;S02798;P18-00305BL;0;1;9,5835;m%;97,09;2,536;0,076;0,1;0,138;0,012;0,002;0,004;0;0,007;0,006;0,0001;0;0;0;0;0,016;0;0;0;0;0,002;0;0;0;0,012;0,001;-711,4226818
G17-0054;432431;S02798;P18-00305BL;0;1;9,7137;m%;97,12;2,506;0,078;0,1;0,142;0,011;0,002;0,004;0;0,009;0,005;0,0005;0;0;0;0;0,016;0;0;0;0,0001;0,002;0;0;0;0,013;0;-711,448258
G17-0054;432431;S02798;P18-00305BL;0;1;9,8626;m%;97,19;2,436;0,076;0,1;0,145;0,012;0,002;0,004;0;0,009;0,005;0,0002;0;0;0;0;0,017;0,0002;0;0;0,0002;0,002;0;0;0;0,013;0;-711,4801614
G17-0054;432431;S02798;P18-00305BL;0;1;10,0114;m%;97,24;2,386;0,073;0,1;0,151;0,011;0,001;0,004;0;0,007;0,006;0,0001;0;0;0;0;0,015;0,0002;0;0;0,0001;0,002;0;0;0;0,009;0;-711,5147889
G17-0054;432431;S02798;P18-00305BL;0;1;10,1603;m%;97,29;2,335;0,072;0,1;0,154;0,01;0,002;0,004;0;0,007;0,007;0,0003;0;0;0;0;0,016;0,0001;0;0;0,0001;0,002;0;0;0;0,012;0;-711,5521011
G17-0054;432431;S02798;P18-00305BL;0;1;10,3091;m%;97,31;2,302;0,073;0,1;0,158;0,012;0,002;0,004;0;0,006;0,009;0,0003;0;0;0;0;0,017;0,0001;0;0;0,0001;0,002;0;0,001;0;0,013;0,001;-711,5919627
